PERNOD RICARD SA;L'OREAL;VINCI SA;BANCO BILBAO VIZCAYA ARGENTA;BANCO SANTANDER SA;ASML HOLDING NV;KONINKLIJKE PHILIPS NV;TELEFONICA SA;TOTAL SE;AIR LIQUIDE SA;AXA SA;BNP PARIBAS;DANONE;VIVENDI SE;ESSILORLUXOTTICA;LVMH MOET HENNESSY LOUIS VUI;KERING;AMADEUS IT GROUP SA;SAFRAN SA;KONINKLIJKE AHOLD DELHAIZE N;UNILEVER PLC;IBERDROLA SA;ING GROEP NV;LINDE PLC;INDUSTRIA DE DISENO TEXTIL;INTESA SANPAOLO;ENI SPA;ENGIE;ORANGE;ANHEUSER-BUSCH INBEV SA/NV;SANOFI;SOCIETE GENERALE SA;ENEL SPA;NOKIA OYJ;SCHNEIDER ELECTRIC SE;ALLIANZ SE-REG;AIRBUS SE;BAYER AG-REG;BAYERISCHE MOTOREN WERKE AG;CRH PLC;BASF SE;SIEMENS AG-REG;VOLKSWAGEN AG-PREF;MUENCHENER RUECKVER AG-REG;FRESENIUS SE & CO KGAA;SAP SE;ADIDAS AG;DEUTSCHE TELEKOM AG-REG;DEUTSCHE POST AG-REG;MERCEDES-BENZ GROUP AG;DEUTSCHE BOERSE AG
149.0;220.5;79.1;5.028;3.97;162.52;34.7;7.315;48.985;96.36363636363636;20.37;40.415;65.26;22.73;106.1;290.85;468.2;68.46;114.2;22.85;48.7;7.184;10.722;147.65;24.82;1.984;14.78;14.04;13.195;66.89;73.39;23.785;5.212;5.536;66.14;184.2;107.18;65.55;69.35;26.75;64.52;92.25;141.86;201.0;46.8;93.56;197.0;14.145;26.0;49.3;110.25
150.55;221.8;80.52;5.194;4.1;163.08;35.09;7.5;49.695;97.13636363636363;20.745;42.11;65.69;24.01;105.8;294.2;473.5;68.32;115.15;22.97;48.7;7.25;11.042;149.8;25.59;2.047;15.12;14.12;13.425;68.45;75.24;24.545;5.236;5.568;68.16;190.14;110.98;68.17;70.77;26.9;66.32;94.62;144.4;204.2;47.26;94.3;199.15;14.26;26.75;50.61;111.3
150.0;224.7;80.46;5.227;4.12;162.0;34.855;7.562;49.51;97.27272727272727;20.78;42.425;65.91;23.93;106.8;295.1;475.4;69.0;115.55;22.87;49.2;7.242;11.096;150.4;25.64;2.065;15.176;14.075;13.595;68.64;75.39;25.175;5.244;5.54;68.08;189.52;111.26;68.16;70.59;27.32;66.14;93.9;142.74;203.7;47.17;94.21;198.55;14.38;26.11;50.4;111.75
149.45;223.1;80.28;5.189;4.084;161.14;34.745;7.6;49.51;97.09090909090908;20.79;42.24;66.39;23.84;105.9;297.25;475.2;68.74;115.8;23.035;48.9;7.228;11.072;148.75;25.77;2.0555;15.198;14.085;13.655;67.76;74.67;25.04;5.226;5.396;67.88;191.04;111.14;67.8;71.04;27.42;65.86;94.05;143.18;205.0;46.68;94.02;201.8;14.48;26.39;50.46;110.75
151.0;224.4;81.04;5.237;4.1405;161.84;34.76;7.68;49.63;98.36363636363636;21.16;42.565;66.88;23.95;107.3;296.6;474.5;68.94;117.5;22.915;49.1;7.322;11.096;148.9;25.48;2.0565;15.252;14.11;13.645;68.81;74.2;25.32;5.232;5.346;69.4;192.0;111.12;68.36;72.51;27.65;66.32;94.6;146.68;206.2;49.0;94.45;202.1;14.58;26.71;51.76;111.05
152.95;225.5;82.06;5.224;4.1465;160.36;34.715;7.773;49.735;98.95454545454544;21.39;41.595;67.8;23.97;107.15;296.95;476.4;68.54;118.25;22.95;49.4;7.4;10.95;151.4;25.43;2.04;15.27;14.13;13.645;68.24;73.1;24.98;5.246;5.386;70.0;193.2;111.36;67.9;73.12;27.78;65.74;94.44;146.58;206.2;50.12;94.77;202.8;14.635;26.84;52.11;111.1
151.9;225.1;82.36;5.227;4.128;162.86;34.72;7.768;49.955;99.54545454545453;21.635;41.925;67.48;24.23;107.65;299.75;480.0;69.32;120.0;22.865;48.8;7.418;11.084;153.1;25.53;2.042;15.288;14.06;13.665;65.77;72.57;25.335;5.278;5.444;69.38;194.06;113.7;67.0;73.13;27.59;65.25;95.84;146.72;206.4;48.74;95.41;204.1;14.68;26.75;52.2;112.1
150.7;224.1;82.16;5.255;4.1895;164.96;34.945;7.705;49.51;99.45454545454545;21.8;42.86;67.37;24.27;108.7;302.9;483.6;69.26;119.8;22.915;48.4;7.336;11.248;153.75;25.49;2.0845;15.212;14.07;13.53;66.18;72.74;26.05;5.266;5.408;69.18;194.14;113.34;66.93;73.7;27.63;64.79;96.57;151.18;208.1;49.17;94.98;210.3;14.58;26.57;53.44;112.0
151.2;224.1;82.96;5.249;4.1835;163.64;35.0;7.6;49.7;100.5454545454545;21.825;43.155;67.64;24.42;108.4;304.25;486.5;69.58;120.3;22.92;48.6;7.334;11.35;153.35;26.23;2.0765;15.21;14.13;13.405;66.18;72.74;25.765;5.312;5.402;69.0;195.24;113.12;66.5;74.0;27.72;67.56;98.13;151.02;208.3;48.59;94.52;213.9;14.495;27.05;53.15;112.05
150.0;220.3;82.74;5.377;4.2;161.68;34.66;7.538;50.02;99.54545454545453;22.105;44.2;66.42;24.39;106.75;302.4;481.4;68.62;120.0;22.6;47.8;7.342;11.554;152.7;26.02;2.1315;15.222;13.9;13.305;65.86;72.73;26.56;5.3;5.336;68.32;194.48;113.46;69.28;74.24;27.55;67.28;96.68;151.66;205.9;48.14;93.81;213.1;14.48;27.12;52.88;109.85
